launch_angle,exit_velocity,hit_distance_sc,spray_angle,game_type,is_hit
-31.0,88.4,3.0,-25.39473539002464,RS,0
39.0,97.2,353.0,0.9902243193445717,RS,0
-40.0,83.1,2.0,-31.02256622824232,RS,0
42.0,96.8,326.0,-2.7780691387197325,RS,0
5.0,105.6,106.0,33.64953163181232,RS,0
21.0,103.2,369.0,-16.381076979137777,RS,0
1.0,78.7,42.0,22.761213632111236,RS,0
35.0,99.3,373.0,3.635314327330606,RS,0
5.0,86.2,80.0,-13.281933190845221,RS,0
-22.0,106.4,5.0,-28.34526282503981,RS,1
-12.0,80.9,14.0,30.167983547433735,RS,0
20.0,112.9,389.0,-23.99445280474036,RS,1
53.0,98.3,275.0,-22.057128031292116,RS,0
10.0,108.6,275.0,4.827610355406158,RS,1
34.0,92.5,327.0,2.735248503331512,RS,0
49.0,69.0,192.0,-27.517825645457776,RS,0
23.0,100.1,375.0,9.73298961189227,RS,0
-6.0,100.4,16.0,12.483544409306806,RS,0
25.0,82.7,303.0,7.291586884937644,RS,0
11.0,107.5,184.0,-5.673138977502819,RS,0
11.0,95.4,157.0,31.423606583243995,RS,0
11.0,78.4,146.0,-14.49957384786623,RS,0
-15.0,83.1,7.0,16.607972737902596,RS,0
22.0,97.3,345.0,25.064906021222512,RS,0
3.0,87.8,57.0,13.759975737674957,RS,0
0.0,109.4,56.0,25.195225462662926,RS,1
22.0,99.9,358.0,25.826719555869694,RS,1
37.0,67.8,226.0,1.3771588963035866,RS,1
39.0,104.1,348.0,-0.3562986838331514,RS,0
-13.0,96.3,10.0,-33.784160654181,RS,1
-14.0,101.5,11.0,3.382060351978547,RS,1
8.0,102.7,166.0,-14.710018148513313,RS,0
20.0,88.5,281.0,19.77855609506556,RS,0
-43.0,81.4,3.0,-33.25570081687987,RS,0
35.0,79.7,290.0,-4.952536344389938,RS,0
39.0,99.0,401.0,-25.21533523216117,RS,1
-9.0,89.0,12.0,-11.24755021103324,RS,0
6.0,105.9,125.0,31.882120683431918,RS,0
31.0,95.9,357.0,-21.80311589749077,RS,0
-2.0,105.2,37.0,-0.4950815288372057,RS,0
28.0,103.8,412.0,-8.491097954126785,RS,1
37.0,90.0,316.0,-28.204529514103065,RS,0
-6.0,94.3,18.0,-20.815537337370532,RS,0
-2.0,102.2,27.0,-0.58546808748091,RS,1
47.0,88.8,287.0,-23.18744223072925,RS,0
62.0,86.2,162.0,17.156724253226546,RS,0
-5.0,93.4,21.0,-25.483145576488592,RS,0
-8.0,92.4,18.0,-33.7288350856214,RS,1
-9.0,77.7,15.0,-27.966360133040368,RS,0
8.0,98.1,164.0,26.93186596343339,RS,1
29.0,98.3,376.0,15.04122743690457,RS,0
28.0,84.8,295.0,15.332993007013156,RS,0
-12.0,71.6,9.0,18.65544717988837,RS,0
-16.0,93.7,8.0,30.75150931272035,RS,0
-7.0,88.7,13.0,-18.0211835803811,RS,0
1.0,78.2,47.0,-17.943898777251675,RS,0
76.0,73.3,88.0,49.95851956654873,RS,0
25.0,104.4,429.0,-3.658019688630869,RS,1
7.0,72.5,82.0,-24.04868407879609,RS,0
54.0,87.6,212.0,11.930070165832497,RS,0
7.0,98.1,129.0,-22.421429182623214,RS,1
5.0,96.3,98.0,-10.73276782182983,RS,0
28.0,106.1,390.0,29.9024366833267,RS,1
36.0,92.6,313.0,-22.1644321728834,RS,0
36.0,87.2,304.0,11.131585116999304,RS,0
57.0,91.7,223.0,34.037579829494426,RS,0
60.0,96.3,200.0,31.15171146004119,RS,0
12.0,104.8,273.0,-8.200538833409347,RS,1
0.0,85.6,43.0,-4.11868411996895,RS,0
-11.0,99.7,14.0,-19.846488904429428,RS,0
5.0,83.6,81.0,11.045831647571038,RS,0
60.0,82.3,190.0,26.49130496014954,RS,0
5.0,88.8,101.0,-13.160496437380308,RS,1
-12.0,105.6,12.0,18.229761447286812,RS,0
-5.0,90.2,16.0,31.509536081670458,RS,0
56.0,90.0,230.0,-21.405718327486593,RS,0
13.0,90.5,190.0,14.045318641536351,RS,1
20.0,90.3,295.0,23.278120575557598,RS,0
15.0,92.8,242.0,-2.470829489447707,RS,1
49.0,79.9,242.0,-34.16474890598792,RS,0
3.0,81.8,51.0,30.278394262430425,RS,0
-5.0,68.8,14.0,18.802129106059677,RS,0
32.0,90.0,331.0,-1.7052865094721565,RS,0
-1.0,69.7,29.0,21.20117081395111,RS,0
15.0,78.9,189.0,21.65744097151495,RS,1
-9.0,91.8,11.0,-12.434093081604859,RS,0
-48.0,53.5,3.0,-26.48214837928772,RS,0
44.0,98.1,331.0,22.860377810253713,RS,0
36.0,73.1,242.0,-25.83421493674739,RS,0
-48.0,84.7,2.0,25.677921939748483,RS,1
44.0,61.2,171.0,-12.378968412160933,RS,0
-42.0,62.1,3.0,-36.14799619954183,RS,0
0.0,83.4,45.0,18.725157374797725,RS,0
25.0,99.1,385.0,-10.386730412013875,RS,0
11.0,104.5,176.0,23.706034155145932,RS,0
27.0,80.4,286.0,5.512357148290681,RS,0
53.0,82.1,224.0,22.29371632747388,RS,0
7.0,102.8,109.0,17.38344695966019,RS,0
23.0,82.5,241.0,31.575719608164135,RS,1
37.0,99.4,357.0,29.558751373518525,RS,0
36.0,96.1,364.0,-6.867831148593626,RS,0
12.0,92.9,160.0,-26.425188446298993,RS,0
24.0,107.4,404.0,-26.61436538216924,RS,1
19.0,82.2,245.0,-11.830926778786917,RS,1
49.0,89.9,276.0,37.07351841012056,RS,0
40.0,93.1,298.0,20.303083442968926,RS,0
-21.0,91.9,10.0,5.261502060632934,RS,1
61.0,79.2,191.0,33.62940583211004,RS,0
38.0,103.2,363.0,14.885469985195435,RS,0
26.0,79.6,276.0,-14.757978911566681,RS,0
20.0,92.2,319.0,1.5388732968811798,RS,0
